,series_description,country,year,value,source,nature,age,location,sex
46,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,98,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
47,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,247,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
48,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,127,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
49,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,294,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
50,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,295,Statistics Austria based on Time Use Survey 2008/09,C,65+,ALLAREA,1
51,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,162,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
52,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,205,Statistics Austria based on Time Use Survey 2008/09,C,65+,ALLAREA,0
53,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,123,Statistics Austria based on Time Use Survey 2008/09,C,10+,RURAL,0
54,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,260,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
55,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,312,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
56,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,298,Statistics Austria based on Time Use Survey 2008/09,C,65+,RURAL,1
57,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,212,Statistics Austria based on Time Use Survey 2008/09,C,65+,RURAL,0
58,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,202,Statistics Austria based on Time Use Survey 2008/09,C,10+,URBAN,1
59,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,108,Statistics Austria based on Time Use Survey 2008/09,C,10+,URBAN,0
60,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,88,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
61,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,117,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
62,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,228,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
63,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,95,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
64,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,132,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
65,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,234,Statistics Austria based on Time Use Survey 2008/09,C,10+,RURAL,1
66,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,265,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,ALLAREA,1
67,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,54,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,ALLAREA,0
68,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,296,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
69,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,44,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
70,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,160,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
71,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,212,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
72,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,91,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,ALLAREA,0
73,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,320,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,RURAL,1
74,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,80,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,URBAN,0
75,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,255,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,URBAN,1
76,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,268,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
77,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,321,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,RURAL,1
78,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,113,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,RURAL,0
79,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,141,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
80,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,24,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
81,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,241,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,URBAN,1
82,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,45,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
83,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,318,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
84,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,56,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
85,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,262,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
86,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,38,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
87,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,278,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,ALLAREA,1
88,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,81,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
89,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,81,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,RURAL,0
90,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,397,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
91,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,65,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
92,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,329,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
93,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,89,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
94,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,243,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
95,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,57,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
96,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,40,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,URBAN,0
97,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,251,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
98,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,35,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
99,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,313,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
100,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,36,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
101,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,30,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
102,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,199,Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,CA,12+,ALLAREA,1
103,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,129,Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,CA,12+,ALLAREA,0
104,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,71,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
105,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,56,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
106,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,30,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15+,ALLAREA,1
107,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,388,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,65+,ALLAREA,1
108,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,217,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,65+,ALLAREA,0
109,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,28,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15+,ALLAREA,0
110,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,118,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
111,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,75,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
112,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,146,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
113,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,82,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
114,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,196,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
115,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,132,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
116,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2015,179,Calculated by UNSD based on available country data from the 2015 Gross National Happiness Survey to apply ICATUS.,CA,15+,ALLAREA,1
117,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2015,71,Calculated by UNSD based on available country data from the 2015 Gross National Happiness Survey to apply ICATUS.,CA,15+,ALLAREA,0
118,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Brazil,2009,74,Calculated by UNSD based on available country data from the Pilot Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,0
119,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Brazil,2009,215,Calculated by UNSD based on available country data from the Pilot Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,1
120,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2010,251,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,1
121,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2010,128,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,0
122,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belarus,2015,244,Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.,CA,10+,ALLAREA,1
123,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belarus,2015,127,Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.,CA,10+,ALLAREA,0
124,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,52,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,RURAL,0
125,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,180,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
