Goal,series_description,country,year,value,source,nature,age,location,sex
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,19.58333,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,2.91667,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,25.0,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,15-24,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,2.91667,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,15-24,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,20.83333,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,3.33333,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,2.91667,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,18.75,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2005,12.70833,Calculated by UNSD based on available country data from the Time use survey in Annual Household Survey 2005 to apply ICATUS.,CA,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2005,4.58333,Calculated by UNSD based on available country data from the Time use survey in Annual Household Survey 2005 to apply ICATUS.,CA,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2010,12.84708,Calculated by UNSD based on available country data from the Time-use and Volunteer Activities Survey to apply ICATUS.,CA,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2010,4.93042,Calculated by UNSD based on available country data from the Time-use and Volunteer Activities Survey to apply ICATUS.,CA,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2013,13.72565,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2013,5.35436,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Australia,2006,15.97208,Australian Bureau of Statistics based on 2006 Time Use Survey,C,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Australia,2006,9.375,Australian Bureau of Statistics based on 2006 Time Use Survey,C,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,15.435,Statistics Austria based on Time Use Survey 2008/09,C,10+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.18833,Statistics Austria based on Time Use Survey 2008/09,C,10+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.63833,Statistics Austria based on Time Use Survey 2008/09,C,15-24,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,3.74208,Statistics Austria based on Time Use Survey 2008/09,C,15-24,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,16.035,Statistics Austria based on Time Use Survey 2008/09,C,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.5825,Statistics Austria based on Time Use Survey 2008/09,C,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,14.61,Statistics Austria based on Time Use Survey 2008/09,C,25-44,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,10.28,Statistics Austria based on Time Use Survey 2008/09,C,55-64,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,3.16333,Statistics Austria based on Time Use Survey 2008/09,C,15-24,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,14.45167,Statistics Austria based on Time Use Survey 2008/09,C,15+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,7.91042,Statistics Austria based on Time Use Survey 2008/09,C,15+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,11.67583,Statistics Austria based on Time Use Survey 2008/09,C,55-64,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,13.28708,Statistics Austria based on Time Use Survey 2008/09,C,65+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,19.91208,Statistics Austria based on Time Use Survey 2008/09,C,65+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,12.82042,Statistics Austria based on Time Use Survey 2008/09,C,25-44,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.96833,Statistics Austria based on Time Use Survey 2008/09,C,15-24,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,4.06875,Statistics Austria based on Time Use Survey 2008/09,C,15-24,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,16.9375,Statistics Austria based on Time Use Survey 2008/09,C,15+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.95083,Statistics Austria based on Time Use Survey 2008/09,C,15+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,15.72208,Statistics Austria based on Time Use Survey 2008/09,C,25-44,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.91292,Statistics Austria based on Time Use Survey 2008/09,C,25-44,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,17.99125,Statistics Austria based on Time Use Survey 2008/09,C,45-54,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.80042,Statistics Austria based on Time Use Survey 2008/09,C,25-44,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,17.17917,Statistics Austria based on Time Use Survey 2008/09,C,45-54,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.82542,Statistics Austria based on Time Use Survey 2008/09,C,45-54,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,20.38292,Statistics Austria based on Time Use Survey 2008/09,C,55-64,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,20.46,Statistics Austria based on Time Use Survey 2008/09,C,65+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,11.22292,Statistics Austria based on Time Use Survey 2008/09,C,55-64,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,14.23375,Statistics Austria based on Time Use Survey 2008/09,C,65+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.56,Statistics Austria based on Time Use Survey 2008/09,C,10+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,18.07458,Statistics Austria based on Time Use Survey 2008/09,C,55-64,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,21.65208,Statistics Austria based on Time Use Survey 2008/09,C,55-64,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,20.71667,Statistics Austria based on Time Use Survey 2008/09,C,65+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,14.71708,Statistics Austria based on Time Use Survey 2008/09,C,65+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,14.01792,Statistics Austria based on Time Use Survey 2008/09,C,10+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,7.51208,Statistics Austria based on Time Use Survey 2008/09,C,10+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.10208,Statistics Austria based on Time Use Survey 2008/09,C,15-24,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,8.14375,Statistics Austria based on Time Use Survey 2008/09,C,45-54,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,15.80958,Statistics Austria based on Time Use Survey 2008/09,C,45-54,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,6.60833,Statistics Austria based on Time Use Survey 2008/09,C,25-44,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,9.20125,Statistics Austria based on Time Use Survey 2008/09,C,45-54,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,16.23042,Statistics Austria based on Time Use Survey 2008/09,C,10+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2004,3.47208,National Statistical Service Republic of Armenia based on Armenian Time Use Pilot Survey,C,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2004,20.27792,National Statistical Service Republic of Armenia based on Armenian Time Use Pilot Survey,C,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,18.4,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,3.73333,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,20.525,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,3.04167,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,11.12917,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,14.70833,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,6.32083,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,22.1875,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,5.52917,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,17.72917,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,18.64583,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,22.27917,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,7.84583,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,9.79583,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,1.65417,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,16.75417,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,3.13333,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,22.09167,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,3.90833,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,18.16667,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,2.60833,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,19.325,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,65+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,5.6375,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15-24,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,5.65417,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,27.5625,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,4.50833,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,22.87083,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,6.15833,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,16.85417,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,3.925,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,2.75417,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,15+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,17.44583,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,2.41667,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,25-44,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,21.725,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,2.5,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,45-54,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Armenia,2008,2.075,National Statistical Service Republic of Armenia based on Time Use Sample Survey in the Republic of Armenia,C,55-64,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2000,14.09708,Calculated by UNSD based on available country data from the The Belgian Time Use Survey 1999 to apply ICATUS.,CA,12+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2000,8.26375,Calculated by UNSD based on available country data from the The Belgian Time Use Survey 1999 to apply ICATUS.,CA,12+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2005,8.26375,Calculated by UNSD based on available country data from the Survey 2005 on the use of time in Belgium to apply ICATUS.,CA,12+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2005,13.19458,Calculated by UNSD based on available country data from the Survey 2005 on the use of time in Belgium to apply ICATUS.,CA,12+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,13.81958,Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,CA,12+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,8.95833,Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,CA,12+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,4.93083,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15-24,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,3.92042,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15-24,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,2.11625,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,26.95875,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,65+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,15.03667,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,65+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,1.96333,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,8.18708,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,25-44,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,5.23875,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,25-44,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,10.16167,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,45-54,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,5.67167,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,45-54,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,13.64083,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,55-64,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belgium,2013,9.16458,Federal Planning Bureau Belgium based on BTUS2013 based on Harmonised European Belgian Time Use Survey,C,55-64,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2007,12.15292,Calculated by UNSD based on available country data from the Pilot Time use survey to apply ICATUS.,CA,ALLAGE,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2007,4.65292,Calculated by UNSD based on available country data from the Pilot Time use survey to apply ICATUS.,CA,ALLAGE,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2015,12.43042,Calculated by UNSD based on available country data from the 2015 Gross National Happiness Survey to apply ICATUS.,CA,15+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bhutan,2015,4.93042,Calculated by UNSD based on available country data from the 2015 Gross National Happiness Survey to apply ICATUS.,CA,15+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Brazil,2009,5.13875,Calculated by UNSD based on available country data from the Pilot Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Brazil,2009,14.93042,Calculated by UNSD based on available country data from the Pilot Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2002,19.16667,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,20-74,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2002,10.34708,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,20-74,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2010,17.43042,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,20-74,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Bulgaria,2010,8.88875,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,20-74,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belarus,2015,16.94458,Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.,CA,10+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Belarus,2015,8.81958,Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.,CA,10+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,3.58958,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,12.5025,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15-24,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,3.80167,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15-24,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,12.75708,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,3.53833,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,RURAL,MALE
